s4_equi_class,s4_equi_char,pdt_field_name
FSTNOC,FSTN_RANGE_UNITS,Range Unit
FSTNOC,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNOC,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNOP,IP_RATING,IP Rating
FSTNOP,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNOP,FSTN_RANGE_MAX,Range Max
FSTNOP,FSTN_RANGE_MIN,Range Min
FSTNOP,FSTN_RANGE_UNITS,Range Unit
FSTNOP,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNOP,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNTH,IP_RATING,IP Rating
FSTNTH,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNTH,FSTN_OUTPUT_TYPE,Output Type
FSTNTH,FSTN_RANGE_MAX,Range Max
FSTNTH,FSTN_RANGE_MIN,Range Min
FSTNTH,FSTN_RANGE_UNITS,Range Unit
FSTNTH,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNTH,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNTM,IP_RATING,IP Rating
FSTNTM,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNTM,FSTN_RANGE_MAX,Range Max
FSTNTM,FSTN_RANGE_MIN,Range Min
FSTNTM,FSTN_RANGE_UNITS,Range Unit
FSTNTM,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNTM,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNTU,IP_RATING,IP Rating
FSTNTU,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNTU,FSTN_RANGE_MAX,Range Max
FSTNTU,FSTN_RANGE_MIN,Range Min
FSTNTU,FSTN_RANGE_UNITS,Range Unit
FSTNTU,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNTU,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNUS,IP_RATING,IP Rating
FSTNUS,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNUS,FSTN_OUTPUT_TYPE,Output Type
FSTNUS,FSTN_RANGE_MAX,Range Max
FSTNUS,FSTN_RANGE_MIN,Range Min
FSTNUS,FSTN_RANGE_UNITS,Range Unit
FSTNUS,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNUS,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNVA,IP_RATING,IP Rating
FSTNVA,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNVA,FSTN_OUTPUT_TYPE,Output Type
FSTNVA,FSTN_RANGE_MAX,Range Max
FSTNVA,FSTN_RANGE_MIN,Range Min
FSTNVA,FSTN_RANGE_UNITS,Range Unit
FSTNVA,FSTN_VISUAL_INDICATOR,
FSTNVE,IP_RATING,IP Rating
FSTNVE,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNVE,FSTN_RANGE_MAX,Range Max
FSTNVE,FSTN_RANGE_MIN,Range Min
FSTNVE,FSTN_RANGE_UNITS,Range Unit
FSTNVE,FSTN_SPECIFIC_ORDER_CODE,Specific Order Code
FSTNVE,FSTN_RATED_VOLTAGE,Rated Voltage
FSTNVE,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
FSTNVO,IP_RATING,IP Rating
FSTNVO,FSTN_SIGNAL_TYPE,Output Signal Type
FSTNVO,FSTN_RANGE_MAX,Range Max
FSTNVO,FSTN_RANGE_MIN,Range Min
FSTNVO,FSTN_RANGE_UNITS,Range Unit
FSTNVO,FSTN_SPECIFIC_ORDER_CODE,Specific Order Code
FSTNVO,FSTN_RATED_VOLTAGE,Rated Voltage
